student_id,class_section,study_hours_per_week,sleep_hours_per_night,attendance_pct,exam_score
96,C,15.3,8.6,81.8,91.3
97,C,12.1,6.4,83.9,91.4
98,A,11.4,7.4,83.1,100.0
99,A,7.5,6.8,90.5,75.0
100,C,10.6,7.2,100.0,92.2
101,C,16.3,8.4,86.5,100.0
102,A,4.0,7.4,100.0,78.9
103,C,7.7,6.1,76.6,82.9
104,A,11.1,6.4,92.7,96.1
105,C,15.8,6.3,78.1,100.0
106,B,6.3,6.7,86.5,79.4
107,A,8.6,6.2,84.3,77.5
108,A,10.7,6.4,66.4,91.9
109,B,21.1,6.8,82.8,100.0
110,B,7.2,7.4,89.2,82.4
111,C,9.7,6.0,88.3,95.3
112,B,12.8,7.1,70.6,94.3
113,B,7.8,7.0,70.9,77.3
114,B,11.6,8.0,91.4,94.1
115,C,11.7,7.3,75.1,90.6
116,A,9.0,7.6,100.0,68.4
117,B,11.5,7.3,88.4,85.8
118,B,16.3,8.3,88.6,100.0
119,A,10.7,6.8,83.5,90.1
120,C,8.8,5.3,77.5,90.8
121,B,7.7,7.4,88.0,93.6
122,C,11.1,5.8,83.1,100.0
123,A,13.9,4.4,100.0,100.0
124,B,10.8,7.5,86.9,88.6
125,C,11.4,6.9,87.8,100.0
126,C,19.6,7.2,96.0,100.0
127,C,7.6,7.5,95.1,77.9
128,B,6.5,6.8,65.1,89.7
129,C,11.3,8.2,100.0,96.6
130,B,9.6,7.0,70.1,83.9
131,B,12.3,6.6,75.2,96.1
132,C,14.7,7.0,82.4,100.0
133,C,11.6,4.6,77.4,93.0
134,A,9.6,7.5,100.0,89.2
135,C,12.1,5.3,85.7,86.1
136,C,12.0,7.4,74.0,98.7
137,B,10.0,6.8,81.6,95.1
138,A,8.3,7.0,77.4,90.2
139,B,12.7,6.0,78.5,95.9
140,A,9.6,8.9,89.2,83.4
141,C,6.3,4.6,90.7,80.7
142,B,12.7,6.8,83.8,88.6
143,B,8.5,5.9,72.2,70.9
144,C,8.4,5.1,79.0,91.1
145,A,12.6,8.6,94.6,91.0
146,A,7.6,7.2,90.7,100.0
147,B,9.7,9.7,82.2,89.5
148,B,6.9,7.8,92.9,92.8
149,B,5.0,7.5,66.7,60.1
150,A,11.3,7.6,78.4,89.5
151,A,15.7,5.5,85.7,100.0
152,B,7.2,5.5,88.4,88.3
153,C,14.3,8.6,95.9,100.0
154,A,14.0,7.9,86.2,100.0
155,B,15.5,6.1,88.4,97.0
156,A,6.5,7.1,86.9,72.6
157,C,8.0,7.1,74.8,81.8
158,C,16.0,8.4,83.5,96.1
159,A,10.1,7.4,99.7,99.1
160,C,10.3,6.2,92.6,85.4
161,A,12.8,7.9,82.3,87.0
162,C,12.4,6.4,85.6,97.0
163,A,8.4,7.6,100.0,100.0
164,A,9.6,6.3,100.0,91.8
165,A,12.5,3.4,100.0,100.0
166,A,11.3,8.8,98.4,94.8
167,B,7.8,5.9,84.1,95.6
168,A,14.8,8.1,83.6,100.0
169,A,13.3,7.7,69.4,83.0
170,A,9.2,6.4,98.3,78.6
171,C,8.4,5.7,97.8,91.7
172,B,13.6,9.2,100.0,100.0
173,C,1.9,7.3,77.9,66.0
174,B,10.7,8.5,100.0,95.3
175,B,8.3,7.4,91.2,95.7
176,B,8.0,8.1,87.1,79.7
177,C,13.4,7.3,88.4,100.0
178,B,11.4,5.5,74.4,100.0
179,C,21.0,6.1,85.1,96.9
180,B,9.6,7.5,76.0,81.0
181,A,11.7,5.7,81.0,98.5
182,B,5.5,6.6,88.0,76.5
183,A,13.9,6.9,81.1,98.4
184,B,8.3,8.3,93.0,92.7
185,B,11.2,8.9,78.9,97.3
186,C,14.9,4.7,80.4,98.8
187,C,14.5,7.5,80.2,82.8
188,A,12.1,9.1,88.0,98.9
189,B,14.9,5.5,88.5,100.0
190,C,8.9,5.8,96.0,95.2
191,C,7.2,8.4,82.9,87.9
192,A,5.1,7.2,79.4,81.0
193,B,12.4,6.4,88.9,99.3
194,C,17.3,7.3,100.0,100.0
195,B,9.3,7.9,94.9,90.2
196,C,10.5,7.1,67.4,96.0
197,A,9.3,7.5,87.3,82.0
198,C,12.1,7.3,82.2,98.4
199,B,4.1,7.5,84.3,82.1
200,C,13.4,7.3,94.5,100.0
201,A,14.2,7.5,86.8,100.0
202,A,8.0,6.9,85.3,100.0
203,A,6.9,8.3,70.3,77.9
204,B,7.3,6.7,85.2,80.2
205,A,12.3,6.5,78.8,100.0
206,B,15.5,5.5,88.7,100.0
207,B,6.9,6.2,97.0,79.0
208,A,5.0,7.3,77.6,65.3
209,A,10.8,6.9,84.0,90.3
210,A,11.3,7.8,92.3,90.6
211,B,12.9,5.8,70.0,83.3
212,C,8.0,6.4,79.2,75.8
213,A,12.9,4.8,71.8,97.1
214,B,14.2,6.8,80.0,100.0
215,C,4.7,8.2,85.2,74.8
216,B,9.3,7.6,82.8,80.5
217,A,12.5,6.6,100.0,95.4
218,C,13.0,7.6,94.0,67.6
219,C,8.4,7.4,88.1,84.0
220,C,3.6,6.1,97.4,87.0
221,A,7.6,5.9,100.0,92.4
222,B,5.4,6.0,82.5,71.6
223,A,8.5,7.6,84.5,83.0
224,C,13.9,7.7,89.7,89.6
225,A,8.1,7.5,96.8,75.4
226,C,10.6,6.8,66.2,91.7
227,A,6.1,9.2,85.7,69.7
228,A,13.5,6.8,100.0,100.0
229,C,8.1,7.6,86.7,96.4
230,C,6.6,7.3,100.0,89.8
231,A,16.8,8.3,100.0,100.0
232,A,11.4,5.2,94.2,88.7
233,A,12.7,7.7,100.0,98.3
234,C,3.3,6.9,87.0,60.1
235,C,15.2,7.0,69.0,100.0
236,A,16.3,5.9,81.8,100.0
237,B,9.8,6.2,100.0,97.0
238,A,9.2,8.4,100.0,87.6
239,A,8.2,8.1,92.6,98.0
240,A,14.0,5.4,70.4,97.6
241,C,4.8,7.3,86.7,81.0
242,A,11.4,6.5,66.6,85.4
243,B,17.2,8.3,87.5,100.0
244,A,10.7,7.6,100.0,80.1
245,B,17.1,7.9,77.4,100.0
246,B,10.3,7.0,77.8,85.8
247,B,9.2,7.1,81.9,84.5
248,A,13.4,6.3,83.1,88.6
249,C,10.0,5.4,92.6,82.3
250,C,10.6,6.4,90.2,87.9
251,B,8.8,8.5,94.3,84.0
252,B,6.0,8.6,76.5,85.0
253,B,9.2,6.1,98.8,80.7
254,B,12.7,6.1,93.3,99.7
255,C,14.0,6.2,77.8,99.2
256,B,10.0,6.2,81.3,85.2
257,B,11.3,5.7,80.1,83.5
258,C,7.0,6.3,69.3,99.5
259,B,9.6,7.8,100.0,91.3
260,A,9.7,7.9,93.0,88.2
261,B,9.8,9.0,87.3,94.0
262,C,10.5,6.8,98.3,87.5
263,B,11.5,4.6,85.1,85.3
264,A,14.5,6.4,85.1,100.0
265,B,12.9,5.8,99.9,88.9
266,C,12.0,6.6,76.3,95.9
267,B,6.0,6.2,77.8,88.5
268,A,7.4,8.1,69.6,70.1
269,A,10.4,6.1,79.6,88.9
270,C,10.6,7.0,97.1,100.0
271,A,12.8,9.0,81.2,83.7
272,B,4.1,7.0,100.0,77.9
273,B,10.9,5.1,81.2,90.6
274,A,10.7,8.0,88.7,78.8
275,C,9.1,7.5,75.6,88.6
276,A,7.5,7.6,93.8,89.0
277,C,11.1,7.8,100.0,100.0
278,C,9.7,5.9,83.4,89.9
279,C,11.9,5.9,70.2,100.0
280,B,3.3,7.2,85.4,73.0
281,B,7.1,5.1,93.6,82.7
282,A,15.6,6.0,77.9,95.5
283,A,11.1,8.3,100.0,90.2
284,B,7.6,5.6,73.2,84.7
285,A,9.2,7.4,92.2,87.9
286,C,5.8,8.2,100.0,93.8
287,A,15.2,6.9,89.3,100.0
288,A,15.3,6.5,99.4,100.0
289,C,13.4,8.5,91.3,100.0
290,C,14.5,5.4,82.1,100.0
291,B,11.9,8.9,81.5,96.6
292,C,14.9,6.0,100.0,100.0
293,C,12.5,7.0,68.2,98.9
294,C,15.2,5.7,88.6,100.0
295,B,10.2,5.8,78.0,94.4
296,B,10.0,8.1,81.6,74.9
297,B,8.4,7.1,94.7,98.8
298,C,8.7,7.6,77.2,84.8
299,C,4.9,5.5,70.2,77.6
300,C,15.0,6.6,98.3,100.0
301,C,15.2,5.6,98.9,100.0
302,C,12.9,7.0,86.3,100.0
303,A,13.8,7.5,76.8,100.0
304,A,11.1,7.6,75.6,84.8
305,A,12.1,7.6,89.1,100.0
306,A,5.7,6.2,90.2,78.9
307,B,10.1,7.6,90.7,87.1
308,A,4.1,6.5,92.5,68.1
309,C,8.0,8.5,85.6,92.0
310,A,9.4,6.8,91.9,71.7
311,C,9.3,8.3,85.3,86.1
312,A,6.7,6.6,89.4,74.6
313,C,14.8,7.7,83.3,100.0
314,B,13.8,7.3,88.6,100.0
315,A,8.5,5.3,76.1,87.9
316,A,6.1,7.8,83.3,88.3
317,C,8.6,5.9,73.8,77.7
318,C,13.6,5.0,91.3,100.0
319,B,3.7,7.1,79.4,62.9
320,A,13.1,8.3,78.5,90.4
321,B,9.9,7.8,78.9,85.3
322,B,9.0,6.0,76.7,74.0
323,A,13.9,5.0,75.6,100.0
324,C,10.4,3.9,91.3,100.0
325,C,9.1,6.3,90.5,96.8
326,C,14.6,6.4,94.5,94.2
327,A,4.8,6.8,79.2,59.0
328,B,15.9,8.4,87.9,100.0
329,A,7.4,6.8,65.4,92.6
330,A,7.4,5.8,94.3,67.5
331,C,15.8,5.7,75.0,97.5
332,A,21.9,5.9,98.2,100.0
333,C,14.6,6.2,92.4,100.0
334,A,7.4,7.4,100.0,91.3
335,C,2.8,6.6,90.6,75.7
336,A,11.2,6.9,78.8,93.2
337,C,10.4,7.1,100.0,97.3
338,A,8.3,7.2,98.7,84.2
339,A,9.9,7.7,97.3,72.8
340,B,8.0,8.3,100.0,83.5
341,B,13.3,5.9,85.3,100.0
342,A,10.0,6.7,62.0,77.6
343,A,9.6,6.9,83.6,93.4
344,B,2.7,6.8,79.9,67.6
345,A,11.2,7.9,92.3,87.7
346,C,5.3,7.8,81.8,88.2
347,C,12.9,6.3,91.6,99.5
348,B,10.2,8.9,77.2,76.7
349,B,3.3,7.6,97.3,61.8
350,A,9.2,7.8,92.2,96.3
351,B,6.2,6.3,78.6,80.4
352,C,12.2,7.9,99.8,92.8
353,C,11.9,6.6,100.0,100.0
354,A,14.0,5.9,92.1,98.8
355,A,7.6,7.1,79.9,94.5
356,C,12.0,5.8,89.5,92.3
357,A,5.5,5.8,87.0,66.9
358,A,11.4,7.5,81.4,80.9
359,A,9.5,7.9,85.1,79.8
360,C,11.1,6.2,84.3,90.1
361,A,10.2,8.1,71.6,81.1
362,C,13.8,8.3,85.2,98.0
363,A,9.1,8.3,74.9,76.3
364,A,9.6,7.4,85.4,94.2
365,C,15.1,6.7,83.6,100.0
366,A,10.0,8.8,94.3,81.2
367,C,8.4,6.6,80.7,99.4
368,A,7.1,7.6,87.1,89.9
369,C,10.3,8.3,70.9,100.0
370,A,10.1,9.0,97.5,86.2
371,B,12.5,7.4,100.0,89.1
372,C,9.7,7.3,84.5,100.0
373,A,12.6,7.6,91.0,78.5
374,B,9.3,7.3,92.8,85.2
375,C,15.8,8.3,84.1,100.0
376,A,10.1,8.3,95.0,85.7
377,B,12.6,9.0,80.4,88.0
378,C,11.6,7.0,84.7,95.0
379,C,5.7,7.9,85.0,79.4
380,C,13.8,6.2,79.6,100.0
381,B,8.8,6.6,71.6,75.6
382,C,13.5,8.7,96.0,100.0
383,A,3.3,6.8,86.9,75.5
384,C,3.8,4.9,78.1,76.0
385,B,3.3,6.4,74.0,61.3
386,B,4.0,6.5,84.3,67.8
387,B,8.9,5.0,75.7,88.4
388,A,10.1,7.3,91.0,87.8
389,C,6.8,8.0,86.0,82.4
390,B,9.0,6.5,89.8,85.5
391,B,7.8,8.2,96.2,90.7
392,A,12.8,4.7,87.6,99.7
393,C,12.7,7.9,91.8,100.0
394,B,11.2,7.0,97.6,100.0
395,C,12.4,9.6,90.8,100.0
396,B,16.1,7.1,62.6,100.0
397,A,12.4,7.0,97.7,92.5
398,B,4.9,7.0,88.3,76.6
399,A,9.5,6.7,91.5,94.7
400,A,9.1,6.6,100.0,99.9
401,B,13.0,7.8,83.6,95.9
402,B,11.8,7.4,90.6,90.2
403,C,13.2,7.4,64.3,99.9
404,A,4.8,7.4,100.0,74.8
405,C,15.0,6.3,85.1,100.0
406,B,9.7,9.2,83.2,91.6
407,A,13.5,5.9,83.1,100.0
408,B,11.8,8.1,91.6,89.7
409,B,7.1,6.9,67.0,92.5
410,B,7.3,8.2,100.0,83.8
411,B,12.2,6.8,86.9,82.8
412,C,14.1,8.3,84.7,100.0
413,B,7.0,7.6,99.9,85.0
414,C,6.2,8.4,94.6,88.6
415,A,3.0,9.3,90.9,58.9
416,A,6.9,7.3,76.5,84.4
417,B,7.5,7.3,96.9,91.4
418,C,9.1,4.4,88.3,82.1
419,B,12.2,7.1,77.3,85.3
420,A,8.4,8.1,83.9,91.8
421,B,6.2,6.8,88.6,97.2
422,C,8.7,7.2,78.1,100.0
423,B,9.8,6.9,94.3,78.8
424,B,10.5,4.9,80.0,100.0
425,B,10.5,8.1,94.6,82.5
426,B,9.4,6.3,88.6,86.8
427,C,11.9,5.6,90.4,96.4
428,A,9.0,8.2,75.5,95.2
429,C,6.4,7.5,86.6,93.4
430,B,9.4,7.7,91.8,87.9
431,B,16.4,7.2,89.0,100.0
432,B,7.2,6.4,81.9,74.0
433,C,18.5,8.1,89.2,100.0
434,B,8.3,6.1,82.2,95.7
435,B,12.5,7.4,85.1,96.8
436,A,4.4,6.0,97.7,72.1
437,A,9.6,5.9,100.0,100.0
438,B,15.0,8.0,100.0,100.0
439,A,5.9,6.2,91.6,80.9
440,A,7.5,8.9,79.9,84.4
441,C,11.1,5.6,83.0,97.5
442,A,11.2,8.3,96.9,89.8
443,B,4.9,6.8,87.0,75.5
444,C,5.7,8.0,100.0,81.5
445,C,11.0,7.9,82.2,93.7
446,A,11.0,5.1,94.8,75.4
447,B,12.5,7.8,72.5,90.2
448,B,9.4,6.8,82.5,84.1
449,B,12.2,6.1,90.9,100.0
450,B,14.2,8.3,89.8,100.0
451,C,5.8,7.5,87.3,69.4
452,A,13.5,7.6,74.4,86.6
453,C,12.6,8.7,86.8,100.0
454,C,14.4,8.2,82.6,100.0
455,A,8.7,7.2,79.0,79.1
456,B,9.9,6.2,87.9,81.5
457,B,10.3,8.8,77.3,84.5
458,C,8.4,6.4,79.1,83.4
459,A,13.5,5.3,100.0,90.1
460,C,10.8,9.3,89.2,99.1
461,A,6.6,9.5,98.1,93.6
462,A,10.9,5.3,80.4,89.3
463,A,6.4,7.5,80.9,80.8
464,C,4.6,5.5,72.2,60.7
465,C,6.4,7.8,72.2,73.2
466,B,10.1,6.6,72.7,73.7
467,C,10.4,5.6,90.2,99.4
468,A,9.6,8.2,76.0,94.2
469,B,11.9,6.1,76.7,83.7
470,B,16.6,7.6,79.3,100.0
471,B,6.1,6.4,92.5,71.8
472,A,11.5,9.0,81.3,88.6
473,B,11.0,8.3,91.4,80.8
474,B,5.9,6.6,74.9,82.9
475,B,8.3,4.7,91.3,78.7
476,B,10.7,7.5,85.0,81.5
477,B,10.1,6.1,91.3,81.4
478,B,7.2,8.4,73.8,76.9
479,C,12.6,8.9,83.7,100.0
480,B,10.8,7.1,85.1,92.8
481,A,12.2,8.1,78.2,94.3
482,B,15.5,5.6,91.0,98.6
483,A,5.7,7.8,85.8,70.5
484,B,13.4,9.0,90.5,100.0
485,C,11.6,5.6,79.3,100.0
486,B,7.0,7.9,87.3,90.2
487,C,9.8,7.4,71.1,90.1
488,B,8.6,8.1,92.0,76.5
489,C,6.0,7.2,71.6,75.3
490,C,12.8,7.0,78.3,98.7
491,B,7.4,8.4,86.0,84.6
492,A,3.1,7.1,90.5,72.5
493,C,12.8,7.6,86.3,100.0
494,B,8.3,5.5,64.8,85.9
495,A,11.3,7.5,72.4,95.8
496,B,10.7,7.8,76.6,98.7
497,A,9.0,6.9,83.7,88.3
498,B,8.7,7.0,71.2,93.1
499,A,1.4,4.8,76.2,62.7
500,A,8.6,5.9,88.4,82.1
501,C,6.1,6.8,85.5,95.9
502,A,11.7,6.7,89.7,93.8
503,C,7.3,9.5,88.3,100.0
504,C,7.8,7.9,69.9,69.2
505,B,10.3,5.7,74.1,90.6
506,A,6.1,9.6,85.0,83.1
507,A,7.6,5.5,87.7,100.0
508,B,8.3,5.8,78.5,91.9
509,B,11.4,6.1,93.6,90.6
510,A,5.1,7.0,77.2,77.4
511,B,12.6,10.0,78.8,88.9
512,A,9.5,6.8,84.1,82.5
513,A,8.3,7.7,86.7,89.4
514,A,11.2,5.4,77.9,93.4
515,A,13.4,6.6,83.2,100.0
516,B,13.9,10.0,74.3,76.0
517,A,6.4,8.5,76.7,77.3
518,C,14.6,8.1,99.4,100.0
519,B,10.1,8.8,72.6,98.2
520,B,14.4,7.7,99.3,100.0
521,C,6.4,7.7,78.2,83.3
522,C,9.4,5.9,96.6,97.8
523,A,9.6,5.4,79.5,100.0
524,B,5.7,6.3,73.5,82.7
525,B,8.4,6.7,83.2,76.7
526,B,13.1,6.2,84.0,90.8
527,B,13.8,7.9,86.6,100.0
528,C,12.2,9.2,74.1,90.8
529,B,10.9,7.1,69.2,95.5
530,C,8.5,5.3,81.8,90.2
531,B,17.0,5.7,79.4,100.0
532,B,5.4,8.3,76.3,77.9
533,B,5.9,8.0,83.2,67.3
534,C,7.3,7.3,97.8,82.1
535,A,10.6,7.8,96.6,90.2
536,A,8.4,8.4,87.5,85.3
537,C,12.6,7.1,97.9,100.0
538,C,4.6,7.4,100.0,82.1
539,A,12.8,6.7,99.4,100.0
540,C,15.9,4.8,67.4,92.7
541,B,12.9,7.2,77.2,100.0
542,A,8.9,7.0,87.8,90.8
543,A,7.9,7.5,94.5,79.1
544,A,13.7,6.4,72.3,97.8
545,B,4.2,7.5,100.0,71.5
546,C,7.2,7.5,78.2,82.6
547,B,4.2,6.6,75.1,75.1
548,C,9.5,5.9,63.9,92.8
549,A,16.2,6.3,94.2,100.0
550,A,8.5,7.4,95.1,94.8
551,C,13.6,8.1,94.3,93.1
552,C,6.3,9.1,87.4,94.1
553,A,8.1,6.9,88.7,86.3
554,A,8.0,7.6,86.2,76.2
555,B,13.5,8.4,100.0,100.0
556,C,7.0,5.9,92.5,88.0
557,A,7.7,7.8,95.9,82.5
558,A,10.0,6.5,68.3,85.5
559,A,15.2,6.6,68.5,95.9
560,B,10.1,7.9,96.8,78.9
561,C,16.0,6.8,91.4,100.0
562,A,11.3,7.4,90.4,95.9
563,C,9.1,5.8,84.3,85.9
564,B,13.9,7.0,88.2,98.1
565,A,8.0,6.1,80.6,62.6
566,B,6.8,6.7,91.7,90.2
567,A,10.3,10.0,68.3,81.2
568,B,4.7,7.1,86.1,66.0
569,C,5.9,6.8,78.7,86.5
570,A,7.2,6.6,76.4,89.2
571,B,10.1,6.2,82.8,91.6
572,C,13.5,9.2,83.1,100.0
573,A,13.8,6.3,83.8,98.7
574,B,9.3,9.8,100.0,85.6
575,A,10.7,6.8,72.6,100.0
576,A,8.9,8.5,75.3,65.3
577,B,5.1,7.2,85.2,66.2
578,A,11.3,6.3,84.9,90.6
579,B,7.5,6.8,89.0,89.8
580,C,12.5,8.6,94.4,100.0
581,A,8.1,6.9,88.5,83.1
582,A,6.5,4.8,76.1,77.2
583,C,11.1,9.3,100.0,100.0
584,C,8.1,6.2,87.0,85.8
585,A,5.5,6.7,85.5,78.7
586,C,13.5,8.8,85.8,100.0
587,A,11.0,5.1,76.4,81.1
588,A,11.0,6.5,77.3,83.7
589,C,10.2,7.8,85.2,90.1
590,A,8.0,7.8,87.7,86.4
591,B,0.4,7.7,90.4,73.4
592,B,8.0,5.9,74.5,76.0
593,A,8.4,8.2,92.1,70.8
594,A,11.4,6.5,73.9,99.6
595,C,5.5,7.3,95.9,71.6
596,A,11.6,6.0,100.0,100.0
597,A,10.0,9.1,72.0,80.7
598,B,14.9,6.6,90.1,96.7
599,C,7.5,7.0,95.6,86.9
600,B,10.0,6.4,80.1,80.6
